hex,binary,decimal,rom_value,ascii_value,rom_unicode_name,ascii_unicode_name
0xC1,1100_0001,193,ﾁ,Á,HALFWIDTH KATAKANA LETTER TI,LATIN CAPITAL LETTER A WITH ACUTE
0xC2,1100_0010,194,ﾂ,Â,HALFWIDTH KATAKANA LETTER TU,LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xC3,1100_0011,195,ﾃ,Ã,HALFWIDTH KATAKANA LETTER TE,LATIN CAPITAL LETTER A WITH TILDE
0xC4,1100_0100,196,ﾄ,Ä,HALFWIDTH KATAKANA LETTER TO,LATIN CAPITAL LETTER A WITH DIAERESIS
0xC5,1100_0101,197,ﾅ,Å,HALFWIDTH KATAKANA LETTER NA,LATIN CAPITAL LETTER A WITH RING ABOVE
0xC6,1100_0110,198,ﾆ,Æ,HALFWIDTH KATAKANA LETTER NI,LATIN CAPITAL LETTER AE
0xC7,1100_0111,199,ﾇ,Ç,HALFWIDTH KATAKANA LETTER NU,LATIN CAPITAL LETTER C WITH CEDILLA
0xC8,1100_1000,200,ﾈ,È,HALFWIDTH KATAKANA LETTER NE,LATIN CAPITAL LETTER E WITH GRAVE
0xC9,1100_1001,201,ﾉ,É,HALFWIDTH KATAKANA LETTER NO,LATIN CAPITAL LETTER E WITH ACUTE
0xCA,1100_1010,202,ﾊ,Ê,HALFWIDTH KATAKANA LETTER HA,LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xCB,1100_1011,203,ﾋ,Ë,HALFWIDTH KATAKANA LETTER HI,LATIN CAPITAL LETTER E WITH DIAERESIS
0xCC,1100_1100,204,ﾌ,Ì,HALFWIDTH KATAKANA LETTER HU,LATIN CAPITAL LETTER I WITH GRAVE
0xCD,1100_1101,205,ﾍ,Í,HALFWIDTH KATAKANA LETTER HE,LATIN CAPITAL LETTER I WITH ACUTE
0xCE,1100_1110,206,ﾎ,Î,HALFWIDTH KATAKANA LETTER HO,LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xCF,1100_1111,207,ﾏ,Ï,HALFWIDTH KATAKANA LETTER MA,LATIN CAPITAL LETTER I WITH DIAERESIS
0xD0,1101_0000,208,ﾐ,Ð,HALFWIDTH KATAKANA LETTER MI,LATIN CAPITAL LETTER ETH
0xD1,1101_0001,209,ﾑ,Ñ,HALFWIDTH KATAKANA LETTER MU,LATIN CAPITAL LETTER N WITH TILDE
0xD2,1101_0010,210,ﾒ,Ò,HALFWIDTH KATAKANA LETTER ME,LATIN CAPITAL LETTER O WITH GRAVE
0xD3,1101_0011,211,ﾓ,Ó,HALFWIDTH KATAKANA LETTER MO,LATIN CAPITAL LETTER O WITH ACUTE
0xD4,1101_0100,212,ﾔ,Ô,HALFWIDTH KATAKANA LETTER YA,LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xD5,1101_0101,213,ﾕ,Õ,HALFWIDTH KATAKANA LETTER YU,LATIN CAPITAL LETTER O WITH TILDE
0xD6,1101_0110,214,ﾖ,Ö,HALFWIDTH KATAKANA LETTER YO,LATIN CAPITAL LETTER O WITH DIAERESIS
0xD7,1101_0111,215,ﾗ,×,HALFWIDTH KATAKANA LETTER RA,MULTIPLICATION SIGN
0xD8,1101_1000,216,ﾘ,Ø,HALFWIDTH KATAKANA LETTER RI,LATIN CAPITAL LETTER O WITH STROKE
0xD9,1101_1001,217,ﾙ,Ù,HALFWIDTH KATAKANA LETTER RU,LATIN CAPITAL LETTER U WITH GRAVE
0xDA,1101_1010,218,ﾚ,Ú,HALFWIDTH KATAKANA LETTER RE,LATIN CAPITAL LETTER U WITH ACUTE
0xDB,1101_1011,219,ﾛ,Û,HALFWIDTH KATAKANA LETTER RO,LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xDC,1101_1100,220,ﾜ,Ü,HALFWIDTH KATAKANA LETTER WA,LATIN CAPITAL LETTER U WITH DIAERESIS
0xDD,1101_1101,221,ﾝ,Ý,HALFWIDTH KATAKANA LETTER N,LATIN CAPITAL LETTER Y WITH ACUTE
0xDE,1101_1110,222,ﾞ,Þ,HALFWIDTH KATAKANA VOICED SOUND MARK,LATIN CAPITAL LETTER THORN
0xDF,1101_1111,223,ﾟ,ß,HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK,LATIN SMALL LETTER SHARP S
0xE0,1110_0000,224,á,à,LATIN SMALL LETTER A WITH ACUTE,LATIN SMALL LETTER A WITH GRAVE
0xE1,1110_0001,225,í,á,LATIN SMALL LETTER I WITH ACUTE,LATIN SMALL LETTER A WITH ACUTE
0xE2,1110_0010,226,ó,â,LATIN SMALL LETTER O WITH ACUTE,LATIN SMALL LETTER A WITH CIRCUMFLEX
0xE3,1110_0011,227,ú,ã,LATIN SMALL LETTER U WITH ACUTE,LATIN SMALL LETTER A WITH TILDE
0xE4,1110_0100,228,¢,ä,CENT SIGN,LATIN SMALL LETTER A WITH DIAERESIS
0xE5,1110_0101,229,£,å,POUND SIGN,LATIN SMALL LETTER A WITH RING ABOVE
0xE6,1110_0110,230,¥,æ,YEN SIGN,LATIN SMALL LETTER AE
